"","X","region","income","happy","age","finrela","marital","degree","health","wrkstat","partyid","polviews","sex","year"
"27100",27100,"PACIFIC","$25000 OR MORE","NOT TOO HAPPY",45,"AVERAGE","MARRIED","BACHELOR","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","MALE",1993
"15933",15933,"E. NOR. CENTRAL",NA,"PRETTY HAPPY",82,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","KEEPING HOUSE","STRONG REPUBLICAN",NA,"FEMALE",1985
"49674",49674,"PACIFIC","$25000 OR MORE","NOT TOO HAPPY",39,"ABOVE AVERAGE","NEVER MARRIED","BACHELOR","GOOD","WORKING FULLTIME","IND NEAR DEM","LIBERAL","MALE",2008
"7565",7565,"MIDDLE ATLANTIC","$3000 TO 3999","NOT TOO HAPPY",22,"FAR BELOW AVERAGE","NEVER MARRIED","LT HIGH SCHOOL",NA,"KEEPING HOUSE","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",1978
"20253",20253,"W. SOU. CENTRAL","$6000 TO 6999","PRETTY HAPPY",61,"AVERAGE","MARRIED","LT HIGH SCHOOL","POOR","KEEPING HOUSE","NOT STR DEMOCRAT",NA,"FEMALE",1987
"29101",29101,"E. NOR. CENTRAL",NA,"PRETTY HAPPY",30,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","GOOD","UNEMPL LAID OFF",NA,"MODERATE","MALE",1994
"29654",29654,"E. SOU. CENTRAL","$20000 - 24999","NOT TOO HAPPY",42,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","MALE",1994
"50386",50386,"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",38,"FAR BELOW AVERAGE","MARRIED","BACHELOR",NA,"KEEPING HOUSE","NOT STR REPUBLICAN","CONSERVATIVE","FEMALE",2008
"44703",44703,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",46,"AVERAGE","MARRIED","BACHELOR","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","CONSERVATIVE","MALE",2004
"26712",26712,"PACIFIC","$25000 OR MORE","PRETTY HAPPY",28,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",1993
"12889",12889,"PACIFIC","$7000 TO 7999","VERY HAPPY",53,"FAR BELOW AVERAGE","DIVORCED","HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR DEM",NA,"FEMALE",1983
"26766",26766,"E. NOR. CENTRAL",NA,"VERY HAPPY",87,NA,"WIDOWED","HIGH SCHOOL","GOOD","RETIRED","STRONG REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",1993
"10044",10044,"SOUTH ATLANTIC","$3000 TO 3999","NOT TOO HAPPY",57,"BELOW AVERAGE","NEVER MARRIED","LT HIGH SCHOOL","POOR","KEEPING HOUSE","STRONG DEMOCRAT","MODERATE","FEMALE",1980
"24064",24064,"SOUTH ATLANTIC","$20000 - 24999","PRETTY HAPPY",61,"AVERAGE","WIDOWED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG REPUBLICAN","LIBERAL","FEMALE",1990
"12212",12212,"W. SOU. CENTRAL","$4000 TO 4999","PRETTY HAPPY",54,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","POOR","OTHER","STRONG DEMOCRAT","EXTREMELY LIBERAL","MALE",1982
"12774",12774,"W. SOU. CENTRAL","$15000 - 19999","PRETTY HAPPY",36,"BELOW AVERAGE","DIVORCED","GRADUATE",NA,"WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","MALE",1983
"25301",25301,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",47,"AVERAGE","DIVORCED","BACHELOR","GOOD","WORKING FULLTIME","STRONG REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",1991
"1826",1826,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",32,"ABOVE AVERAGE","DIVORCED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","IND NEAR REP","CONSERVATIVE","FEMALE",1974
"26905",26905,"SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",21,"AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING PARTTIME","OTHER PARTY","MODERATE","FEMALE",1993
"17836",17836,"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",38,"BELOW AVERAGE","MARRIED","BACHELOR",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","MALE",1986
"20345",20345,"PACIFIC","$25000 OR MORE",NA,47,"ABOVE AVERAGE","DIVORCED","HIGH SCHOOL",NA,"WORKING FULLTIME","STRONG DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",1988
"43750",43750,"SOUTH ATLANTIC","$25000 OR MORE",NA,56,NA,"DIVORCED","HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR DEM",NA,"FEMALE",2004
"2949",2949,"E. NOR. CENTRAL","$10000 - 14999","VERY HAPPY",32,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","SLGHTLY CONSERVATIVE","MALE",1974
"48727",48727,"SOUTH ATLANTIC","REFUSED","VERY HAPPY",60,"FAR ABOVE AVERAGE","MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",2006
"46458",46458,"PACIFIC","$10000 - 14999",NA,61,NA,"DIVORCED","BACHELOR","EXCELLENT","WORKING FULLTIME","IND NEAR REP","MODERATE","MALE",2006
"47927",47927,"PACIFIC","$25000 OR MORE","VERY HAPPY",27,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","FEMALE",2006
"50342",50342,"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",51,"AVERAGE","MARRIED","JUNIOR COLLEGE","FAIR","WORKING FULLTIME","IND NEAR REP","MODERATE","MALE",2008
"36566",36566,"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",27,"AVERAGE","NEVER MARRIED","BACHELOR","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2000
"21609",21609,"W. SOU. CENTRAL","$15000 - 19999","PRETTY HAPPY",43,"AVERAGE","MARRIED","LT HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","MALE",1988
"15308",15308,"W. SOU. CENTRAL","LT $1000","PRETTY HAPPY",47,"BELOW AVERAGE","DIVORCED","LT HIGH SCHOOL","POOR","KEEPING HOUSE","STRONG DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",1984
"47493",47493,"SOUTH ATLANTIC","$25000 OR MORE",NA,27,NA,"NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",2006
"17375",17375,"MIDDLE ATLANTIC","$15000 - 19999","PRETTY HAPPY",45,"AVERAGE","DIVORCED","LT HIGH SCHOOL",NA,"TEMP NOT WORKING","OTHER PARTY","MODERATE","FEMALE",1986
"31975",31975,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",50,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","UNEMPL LAID OFF","STRONG REPUBLICAN","EXTRMLY CONSERVATIVE","MALE",1996
"25894",25894,"W. NOR. CENTRAL",NA,"VERY HAPPY",21,"ABOVE AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING PARTTIME","STRONG DEMOCRAT","LIBERAL","MALE",1991
"6607",6607,"SOUTH ATLANTIC",NA,"VERY HAPPY",54,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","IND NEAR DEM","LIBERAL","FEMALE",1977
"43108",43108,"NEW ENGLAND","REFUSED",NA,34,NA,"NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR DEM",NA,"MALE",2004
"13500",13500,"E. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",32,"ABOVE AVERAGE","MARRIED","BACHELOR",NA,"WORKING FULLTIME","IND NEAR REP","SLGHTLY CONSERVATIVE","MALE",1983
"7068",7068,"E. SOU. CENTRAL","$10000 - 14999","PRETTY HAPPY",26,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","FEMALE",1977
"7547",7547,"NEW ENGLAND","$25000 OR MORE","PRETTY HAPPY",50,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR REP","SLGHTLY CONSERVATIVE","FEMALE",1978
"12667",12667,"SOUTH ATLANTIC","$10000 - 14999","NOT TOO HAPPY",34,"BELOW AVERAGE","SEPARATED","BACHELOR",NA,"WORKING PARTTIME","NOT STR DEMOCRAT",NA,"FEMALE",1983
"48490",48490,"E. NOR. CENTRAL","$25000 OR MORE",NA,53,NA,"MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","IND NEAR REP","MODERATE","MALE",2006
"42769",42769,"NEW ENGLAND","REFUSED",NA,63,NA,"MARRIED","HIGH SCHOOL",NA,"RETIRED","NOT STR DEMOCRAT",NA,"FEMALE",2004
"35160",35160,"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",46,"ABOVE AVERAGE","NEVER MARRIED","BACHELOR","GOOD","WORKING PARTTIME","INDEPENDENT","MODERATE","FEMALE",1998
"24013",24013,"W. SOU. CENTRAL","$15000 - 19999","PRETTY HAPPY",47,"AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG REPUBLICAN","CONSERVATIVE","MALE",1990
"27305",27305,"E. NOR. CENTRAL","$1000 TO 2999","PRETTY HAPPY",58,"BELOW AVERAGE","DIVORCED","LT HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR REP","MODERATE","MALE",1993
"50843",50843,"PACIFIC","$5000 TO 5999","NOT TOO HAPPY",56,"BELOW AVERAGE","DIVORCED","LT HIGH SCHOOL","FAIR","OTHER","INDEPENDENT","MODERATE","FEMALE",2008
"12367",12367,"PACIFIC","$10000 - 14999","PRETTY HAPPY",26,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","FEMALE",1982
"6075",6075,"MIDDLE ATLANTIC","$20000 - 24999","VERY HAPPY",63,NA,"MARRIED","LT HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT","MODERATE","FEMALE",1977
"27258",27258,"NEW ENGLAND","$15000 - 19999","PRETTY HAPPY",55,"AVERAGE","WIDOWED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT","MODERATE","FEMALE",1993
"52941",52941,"NOT ASSIGNED","$10000 - 14999","NOT TOO HAPPY",45,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","FAIR","TEMP NOT WORKING","IND NEAR REP","SLIGHTLY LIBERAL","MALE",2010
"14150",14150,"E. NOR. CENTRAL","$20000 - 24999","PRETTY HAPPY",31,"AVERAGE","DIVORCED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",1984
"27324",27324,"E. NOR. CENTRAL","$4000 TO 4999","NOT TOO HAPPY",61,"BELOW AVERAGE","NEVER MARRIED","LT HIGH SCHOOL",NA,"KEEPING HOUSE","STRONG REPUBLICAN","MODERATE","MALE",1993
"50787",50787,"PACIFIC","$25000 OR MORE","VERY HAPPY",48,"AVERAGE","NEVER MARRIED","JUNIOR COLLEGE","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","MALE",2008
"26995",26995,"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",40,"ABOVE AVERAGE","MARRIED","GRADUATE",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","CONSERVATIVE","MALE",1993
"6898",6898,"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",43,"ABOVE AVERAGE","MARRIED","BACHELOR","EXCELLENT","WORKING PARTTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",1977
"13103",13103,"W. NOR. CENTRAL","$7000 TO 7999","NOT TOO HAPPY",31,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR DEMOCRAT",NA,"FEMALE",1983
"27908",27908,"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",47,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","MALE",1994
"18062",18062,"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",43,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING PARTTIME","NOT STR DEMOCRAT","CONSERVATIVE","MALE",1986
"51374",51374,"MIDDLE ATLANTIC","REFUSED","VERY HAPPY",71,"BELOW AVERAGE","MARRIED","LT HIGH SCHOOL","FAIR","RETIRED","STRONG DEMOCRAT","EXTRMLY CONSERVATIVE","FEMALE",2008
"43191",43191,"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",47,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR REP","CONSERVATIVE","FEMALE",2004
"38673",38673,"NEW ENGLAND","$25000 OR MORE","PRETTY HAPPY",27,"ABOVE AVERAGE","NEVER MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","IND NEAR REP","MODERATE","MALE",2000
"32886",32886,"PACIFIC","$15000 - 19999","PRETTY HAPPY",48,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","IND NEAR REP","SLGHTLY CONSERVATIVE","FEMALE",1996
"36391",36391,"E. SOU. CENTRAL","$1000 TO 2999","PRETTY HAPPY",51,"FAR BELOW AVERAGE","DIVORCED","HIGH SCHOOL","POOR","KEEPING HOUSE","NOT STR REPUBLICAN","MODERATE","MALE",1998
"41317",41317,"SOUTH ATLANTIC","$25000 OR MORE",NA,59,NA,"DIVORCED","JUNIOR COLLEGE","FAIR","WORKING PARTTIME","NOT STR REPUBLICAN",NA,"MALE",2002
"2203",2203,"W. NOR. CENTRAL","$3000 TO 3999","PRETTY HAPPY",28,"BELOW AVERAGE","DIVORCED","LT HIGH SCHOOL","FAIR","WORKING FULLTIME","IND NEAR DEM","SLGHTLY CONSERVATIVE","FEMALE",1974
"50854",50854,"PACIFIC","$25000 OR MORE","VERY HAPPY",42,"AVERAGE","NEVER MARRIED","BACHELOR",NA,"WORKING FULLTIME","STRONG DEMOCRAT","EXTREMELY LIBERAL","MALE",2008
"44598",44598,"W. SOU. CENTRAL","$10000 - 14999","NOT TOO HAPPY",75,"BELOW AVERAGE","WIDOWED","LT HIGH SCHOOL","FAIR","RETIRED","NOT STR DEMOCRAT","LIBERAL","FEMALE",2004
"39752",39752,"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",31,"AVERAGE","MARRIED","BACHELOR",NA,"WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","FEMALE",2002
"3251",3251,"MOUNTAIN","$15000 - 19999","VERY HAPPY",54,"ABOVE AVERAGE","DIVORCED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",1975
"33879",33879,"PACIFIC","$25000 OR MORE","VERY HAPPY",36,"AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","FEMALE",1998
"12623",12623,"E. NOR. CENTRAL","$20000 - 24999","PRETTY HAPPY",62,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"KEEPING HOUSE","IND NEAR DEM",NA,"FEMALE",1983
"25764",25764,"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",44,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","MALE",1991
"37501",37501,"E. NOR. CENTRAL","REFUSED","VERY HAPPY",NA,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","INDEPENDENT","MODERATE","FEMALE",2000
"18958",18958,"E. NOR. CENTRAL","$8000 TO 9999","PRETTY HAPPY",38,"BELOW AVERAGE","NEVER MARRIED","BACHELOR","GOOD","WORKING PARTTIME","STRONG REPUBLICAN","CONSERVATIVE","MALE",1987
"30616",30616,"SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",75,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","RETIRED","STRONG DEMOCRAT","LIBERAL","FEMALE",1994
"9311",9311,"SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",22,"ABOVE AVERAGE","NEVER MARRIED","JUNIOR COLLEGE","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","MALE",1980
"36728",36728,"PACIFIC","$25000 OR MORE","PRETTY HAPPY",38,"BELOW AVERAGE","DIVORCED","LT HIGH SCHOOL","FAIR","TEMP NOT WORKING","IND NEAR DEM","MODERATE","FEMALE",2000
"24397",24397,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",43,"AVERAGE","DIVORCED","GRADUATE","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","MALE",1990
"4842",4842,"E. NOR. CENTRAL","$20000 - 24999","NOT TOO HAPPY",59,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","STRONG DEMOCRAT","CONSERVATIVE","FEMALE",1976
"46059",46059,"SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",30,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",2006
"10293",10293,"PACIFIC","$10000 - 14999","PRETTY HAPPY",65,"AVERAGE","WIDOWED","HIGH SCHOOL","POOR","RETIRED","IND NEAR DEM","EXTREMELY LIBERAL","MALE",1980
"50027",50027,"SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",27,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING PARTTIME","STRONG DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",2008
"20187",20187,"SOUTH ATLANTIC","$10000 - 14999","PRETTY HAPPY",36,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","GOOD","UNEMPL LAID OFF","IND NEAR DEM","SLGHTLY CONSERVATIVE","MALE",1987
"22139",22139,"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",45,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","IND NEAR REP","CONSERVATIVE","MALE",1989
"5503",5503,"MOUNTAIN","$20000 - 24999","NOT TOO HAPPY",21,"ABOVE AVERAGE","NEVER MARRIED","JUNIOR COLLEGE","GOOD","WORKING PARTTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",1976
"39054",39054,"W. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",73,"AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","WORKING PARTTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",2000
"52498",52498,"W. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",25,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",2010
"3286",3286,"PACIFIC","$20000 - 24999","PRETTY HAPPY",45,"ABOVE AVERAGE","DIVORCED","BACHELOR","GOOD","TEMP NOT WORKING","IND NEAR DEM","MODERATE","MALE",1975
"52043",52043,"W. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",77,"ABOVE AVERAGE","WIDOWED","GRADUATE","IAP","RETIRED","STRONG DEMOCRAT","LIBERAL","MALE",2010
"38827",38827,"E. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",46,"AVERAGE","MARRIED","GRADUATE","GOOD","WORKING FULLTIME","STRONG REPUBLICAN","CONSERVATIVE","FEMALE",2000
"51370",51370,"PACIFIC","$25000 OR MORE","VERY HAPPY",83,"AVERAGE","WIDOWED","BACHELOR","EXCELLENT","RETIRED","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",2008
"5786",5786,"E. NOR. CENTRAL","$10000 - 14999","PRETTY HAPPY",48,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","KEEPING HOUSE","IND NEAR DEM","SLIGHTLY LIBERAL","FEMALE",1976
"21764",21764,"MIDDLE ATLANTIC","$15000 - 19999","PRETTY HAPPY",50,"BELOW AVERAGE","WIDOWED","GRADUATE","GOOD","WORKING FULLTIME","STRONG REPUBLICAN","CONSERVATIVE","FEMALE",1989
"16239",16239,"SOUTH ATLANTIC","$20000 - 24999","VERY HAPPY",60,"AVERAGE","WIDOWED","BACHELOR","GOOD","RETIRED","STRONG DEMOCRAT","LIBERAL","MALE",1985
"52879",52879,"PACIFIC","DK","PRETTY HAPPY",18,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","FAIR","UNEMPL LAID OFF","INDEPENDENT","MODERATE","FEMALE",2010
"2610",2610,"MIDDLE ATLANTIC","$8000 TO 9999","PRETTY HAPPY",58,"AVERAGE","MARRIED","LT HIGH SCHOOL","POOR","OTHER","NOT STR REPUBLICAN","LIBERAL","MALE",1974
"15669",15669,"SOUTH ATLANTIC","$1000 TO 2999","VERY HAPPY",23,"AVERAGE","NEVER MARRIED","LT HIGH SCHOOL","GOOD","WORKING PARTTIME","STRONG DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",1985
"40936",40936,"SOUTH ATLANTIC","$25000 OR MORE",NA,23,NA,"NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING PARTTIME","INDEPENDENT",NA,"FEMALE",2002
"52329",52329,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",60,"AVERAGE","DIVORCED","BACHELOR","IAP","WORKING FULLTIME","STRONG DEMOCRAT","EXTREMELY LIBERAL","FEMALE",2010
"42967",42967,"SOUTH ATLANTIC","$10000 - 14999","NOT TOO HAPPY",56,"BELOW AVERAGE","NEVER MARRIED","BACHELOR","FAIR","TEMP NOT WORKING","STRONG DEMOCRAT","EXTREMELY LIBERAL","MALE",2004
"33704",33704,"W. SOU. CENTRAL","REFUSED","PRETTY HAPPY",51,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT",NA,"MALE",1998
"40063",40063,"SOUTH ATLANTIC",NA,"PRETTY HAPPY",76,NA,"DIVORCED","LT HIGH SCHOOL",NA,"WORKING PARTTIME","STRONG DEMOCRAT",NA,"FEMALE",2002
"14147",14147,"E. NOR. CENTRAL","$8000 TO 9999","NOT TOO HAPPY",25,"AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","STRONG DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",1984
"28337",28337,"E. NOR. CENTRAL","$25000 OR MORE","NOT TOO HAPPY",25,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","FEMALE",1994
"14644",14644,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",57,"ABOVE AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","INDEPENDENT","LIBERAL","MALE",1984
"10820",10820,"SOUTH ATLANTIC","$3000 TO 3999","NOT TOO HAPPY",NA,"FAR BELOW AVERAGE","WIDOWED","LT HIGH SCHOOL","POOR","RETIRED","STRONG DEMOCRAT","MODERATE","FEMALE",1982
"2609",2609,"MIDDLE ATLANTIC","$5000 TO 5999","VERY HAPPY",27,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","SCHOOL","IND NEAR DEM","SLIGHTLY LIBERAL","MALE",1974
"40130",40130,"W. SOU. CENTRAL","$25000 OR MORE",NA,31,NA,"MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","NOT STR DEMOCRAT",NA,"MALE",2002
"3894",3894,"E. NOR. CENTRAL","$10000 - 14999","PRETTY HAPPY",30,"AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","KEEPING HOUSE","IND NEAR REP","MODERATE","FEMALE",1975
"52687",52687,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",30,"ABOVE AVERAGE","MARRIED","BACHELOR","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","MALE",2010
"43625",43625,"SOUTH ATLANTIC","$25000 OR MORE",NA,30,NA,"MARRIED","HIGH SCHOOL",NA,"WORKING PARTTIME","NOT STR DEMOCRAT",NA,"FEMALE",2004
"25360",25360,"SOUTH ATLANTIC","$15000 - 19999","VERY HAPPY",41,"BELOW AVERAGE","SEPARATED","HIGH SCHOOL",NA,"WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",1991
"27544",27544,"MOUNTAIN","$10000 - 14999","NOT TOO HAPPY",50,"AVERAGE","SEPARATED","HIGH SCHOOL","FAIR","WORKING PARTTIME","IND NEAR REP","MODERATE","FEMALE",1993
"793",793,"PACIFIC","$8000 TO 9999","PRETTY HAPPY",22,"AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","KEEPING HOUSE","INDEPENDENT",NA,"FEMALE",1973
"19769",19769,"E. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",60,"AVERAGE","MARRIED","LT HIGH SCHOOL","FAIR","WORKING FULLTIME","STRONG REPUBLICAN",NA,"MALE",1987
"23484",23484,"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",57,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",1990
"40375",40375,"SOUTH ATLANTIC","$25000 OR MORE",NA,51,NA,"DIVORCED","GRADUATE","EXCELLENT","WORKING FULLTIME","IND NEAR DEM",NA,"MALE",2002
"39077",39077,"W. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",48,"ABOVE AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","CONSERVATIVE","MALE",2000
"44230",44230,"E. NOR. CENTRAL","REFUSED","PRETTY HAPPY",53,"ABOVE AVERAGE","MARRIED","JUNIOR COLLEGE","GOOD","WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","FEMALE",2004
"45670",45670,"SOUTH ATLANTIC","$25000 OR MORE",NA,50,NA,"MARRIED","BACHELOR","GOOD","OTHER","IND NEAR REP","CONSERVATIVE","FEMALE",2006
"8010",8010,"MIDDLE ATLANTIC","$8000 TO 9999","VERY HAPPY",23,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","MALE",1978
"11416",11416,"E. NOR. CENTRAL","$15000 - 19999","VERY HAPPY",54,"AVERAGE","MARRIED","LT HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","MALE",1982
